video_id,time,distance
aaju.mp4,0,5.75
aava.mp4,30,2.5
aava.mp4,40,2.5
aava.mp4,50,4.0
abhg.mp4,2,3.0
abhg.mp4,4,4.0
abhg.mp4,6,6.5
abhg.mp4,8,7.5
abhg.mp4,10,7.0
abhg.mp4,12,8.5
abhg.mp4,14,8.0
abhg.mp4,16,11.0
abhg.mp4,18,12.0
abhg.mp4,20,10.5
abhg.mp4,22,9.0
abhg.mp4,24,9.0
abhg.mp4,26,9.0
abhg.mp4,28,9.0
abhg.mp4,38,9.0
abhg.mp4,42,9.0
abjx.mp4,0,2.5
absl.avi,0,2.0
absl.avi,2,2.0
absl.avi,4,1.5
absl.avi,6,2.0
absl.avi,8,2.0
absl.avi,10,2.0
absl.avi,12,9.0
absl.avi,14,2.5
acdy.mp4,10,8.5
acdy.mp4,40,3.5
aceu.mp4,0,2.5
acgp.mp4,0,1.5
acgp.mp4,2,2.0
acgp.mp4,4,2.0
acgp.mp4,6,2.0
acgp.mp4,8,2.5
acgp.mp4,10,2.0
acgp.mp4,34,1.0
acgp.mp4,36,1.5
acgp.mp4,38,1.1666666666666665
acgp.mp4,40,1.5
acgp.mp4,42,1.0
acgp.mp4,44,1.25
acgp.mp4,46,1.0
acgp.mp4,48,2.0
acgp.mp4,50,2.0
acgp.mp4,52,2.0
acgp.mp4,54,1.5
acgp.mp4,56,1.875
acgp.mp4,58,2.0
acii.mp4,0,3.0
acii.mp4,2,3.0
acii.mp4,4,3.0
acii.mp4,6,3.0
acii.mp4,8,3.0
acjm.mp4,10,9.0
acjm.mp4,40,7.666666666666667
adfm.mp4,0,2.0
adfm.mp4,2,3.0
adfm.mp4,4,3.0
adfm.mp4,6,2.5
adfm.mp4,8,3.0
adwm.avi,0,2.0
adwm.avi,2,2.0
adwm.avi,4,2.5
adwm.avi,6,1.5
adwm.avi,8,2.5
adwm.avi,10,2.5
adwm.avi,12,2.0
adwm.avi,14,2.5
adxk.avi,0,2.5
adxk.avi,2,9.0
adxk.avi,4,2.0
adxk.avi,6,9.0
adxk.avi,8,9.0
adxk.avi,10,2.0
adxk.avi,12,9.0
adxk.avi,14,9.0
adxn.avi,0,1.5
adxn.avi,2,2.0
adxn.avi,4,2.5
adxn.avi,6,2.0
adxn.avi,8,2.0
adxn.avi,10,9.0
adxn.avi,12,2.5
adxn.avi,14,9.0
aexm.mp4,0,4.5
aexm.mp4,10,9.0
aexm.mp4,20,9.0
afkc.mp4,0,4.5
afkc.mp4,2,3.0
agku.avi,0,2.5
agku.avi,2,9.0
agku.avi,4,9.0
agku.avi,6,9.0
agku.avi,8,9.0
agku.avi,10,9.0
agku.avi,12,9.0
agku.avi,14,2.5
agvr.mp4,0,3.0
agvr.mp4,2,3.0
ahlg.avi,1,5.7
ahlg.avi,3,1.375
ahlg.avi,5,2.0
ahlg.avi,7,3.5
ahlg.avi,9,2.75
ahlg.avi,11,3.5
ahlg.avi,13,7.8
ahlg.avi,15,4.7
ahlg.avi,17,4.7
ahlg.avi,19,7.5
ahlg.avi,21,4.7
ahlg.avi,23,1.5
ahlg.avi,25,2.0
ahlg.avi,27,6.875
ahlg.avi,29,5.25
ahlg.avi,31,9.5
ahlg.avi,33,1.7
ahpy.avi,0,3.7
ahpy.avi,4,2.0
ahpy.avi,6,9.0
ahpy.avi,8,2.0
ahpy.avi,10,9.0
ahpy.avi,12,9.0
ahpy.avi,14,9.0
aiii.avi,0,3.7
aiii.avi,2,1.625
aiii.avi,4,1.0
aiii.avi,6,1.5
aiii.avi,8,1.5
aiii.avi,10,1.0
aiii.avi,12,1.625
aiii.avi,14,2.0
aiii.avi,22,1.625
aiii.avi,24,1.5
aiii.avi,26,1.5
aiii.avi,28,1.0
aiii.avi,30,1.5
aiii.avi,32,1.625
aiii.avi,34,1.625
aiii.avi,36,1.5
aiii.avi,38,1.0
aiii.avi,40,1.625
aiii.avi,42,1.625
aiii.avi,44,1.625
aiii.avi,46,1.0
aiii.avi,48,1.0
aiii.avi,50,1.8333333333333333
aiii.avi,52,1.0
aiiu.avi,0,2.0
aiiu.avi,2,2.0
aiiu.avi,4,2.0
aiiu.avi,6,9.0
aiiu.avi,8,9.0
aiiu.avi,10,9.0
aiiu.avi,12,9.0
aiiu.avi,14,9.0
ajfu.mp4,0,13.5
ajfu.mp4,2,11.5
ajfu.mp4,4,13.5
ajfu.mp4,6,9.5
ajfu.mp4,8,10.5
ajfu.mp4,10,9.0
ajfu.mp4,12,14.0
ajfu.mp4,14,9.0
ajfu.mp4,16,14.5
ajfu.mp4,18,9.0
ajfu.mp4,20,9.0
ajfu.mp4,22,9.0
ajfu.mp4,24,9.0
ajfu.mp4,26,9.0
ajfu.mp4,28,9.0
ajfu.mp4,30,9.0
ajfu.mp4,32,14.0
ajfu.mp4,34,9.0
ajfu.mp4,36,9.0
ajfu.mp4,38,3.5
ajfu.mp4,40,9.0
ajfu.mp4,42,9.0
ajfu.mp4,44,9.0
ajfu.mp4,46,3.5
ajfu.mp4,48,3.5
ajfu.mp4,50,9.0
ajfu.mp4,52,9.0
ajfu.mp4,54,9.0
ajfu.mp4,56,5.5
ajfu.mp4,58,9.0
amkc.mp4,0,7.666666666666667
amox.mp4,10,9.0
andz.mp4,0,7.0
anfk.mp4,0,1.5
anfk.mp4,8,3.0
anfk.mp4,12,5.0
anfk.mp4,56,2.0
anfk.mp4,58,2.0
anvn.mp4,0,6.333333333333334
anvn.mp4,2,5.0
anvn.mp4,4,5.0
anvn.mp4,6,5.0
aoaq.mp4,4,9.0
aoaq.mp4,6,12.5
aoaq.mp4,8,14.0
aoaq.mp4,10,13.5
aoaq.mp4,12,14.5
aoaq.mp4,14,9.0
aoaq.mp4,16,14.5
aoaq.mp4,18,14.5
aoaq.mp4,20,9.0
aoaq.mp4,22,9.0
aoaq.mp4,24,9.0
aoaq.mp4,26,9.0
apab.mp4,0,1.0
apab.mp4,2,1.0
apab.mp4,4,2.0
apab.mp4,6,1.0
apab.mp4,8,1.5
apab.mp4,10,1.0
apab.mp4,12,1.0
apab.mp4,14,2.0
apab.mp4,16,2.0
apab.mp4,18,1.5
apab.mp4,20,1.5
aqln.mp4,0,9.0
aqtc.mp4,32,9.0
aqtc.mp4,34,9.0
aqtc.mp4,36,9.0
aqtc.mp4,38,9.0
aqtc.mp4,40,9.0
aqtc.mp4,42,9.0
aqtc.mp4,44,9.0
aqtc.mp4,46,9.0
aqtc.mp4,48,9.0
aqtc.mp4,50,9.0
aqtc.mp4,52,9.0
aqtc.mp4,54,9.0
aqtc.mp4,56,9.0
aqtc.mp4,58,9.0
aram.mp4,0,3.0
aram.mp4,2,3.5
aram.mp4,4,6.0
aram.mp4,6,6.0
aram.mp4,8,6.0
aram.mp4,10,7.0
aram.mp4,12,6.5
aram.mp4,14,6.5
ascj.avi,0,3.6
ascj.avi,2,4.0
ascj.avi,4,3.6
ascj.avi,6,3.6
ascj.avi,8,4.0
ascj.avi,10,3.6
ascj.avi,12,4.0
ascj.avi,14,3.6
ascj.avi,16,4.0
ascj.avi,18,3.6
ascj.avi,20,3.6
ascj.avi,22,3.6
ascj.avi,24,3.6
ascj.avi,26,4.0
ascj.avi,28,3.6
ascj.avi,30,3.6
ascj.avi,32,4.0
ascj.avi,34,3.6
ascj.avi,36,4.0
ascj.avi,38,4.0
ascj.avi,40,3.6
ascj.avi,42,3.6
ascj.avi,44,3.6
ascj.avi,46,4.0
ascj.avi,48,3.6
ascj.avi,50,4.0
ascj.avi,52,4.0
ascj.avi,54,4.0
ascj.avi,56,1.5
ascj.avi,58,4.0
assg.avi,20,3.5
aswp.mp4,0,3.0
aswp.mp4,2,3.5
aswp.mp4,4,3.5
aswp.mp4,6,3.5
aswp.mp4,8,3.5
aswp.mp4,10,3.5
aswp.mp4,12,3.5
aswp.mp4,14,3.5
aswp.mp4,16,3.0
aswp.mp4,18,3.0
aswp.mp4,20,3.5
aswp.mp4,22,3.5
aswp.mp4,24,3.5
aswp.mp4,26,3.5
aswp.mp4,28,3.0
aswp.mp4,30,3.0
aswp.mp4,32,3.0
auii.avi,0,4.875
auzw.mp4,0,3.0
auzw.mp4,2,3.0
auzw.mp4,4,2.5
auzw.mp4,6,2.0
auzw.mp4,8,2.0
auzw.mp4,10,3.0
auzw.mp4,12,3.0
auzw.mp4,14,3.5
auzw.mp4,16,3.0
auzw.mp4,18,3.0
auzw.mp4,20,3.0
auzw.mp4,22,3.0
auzw.mp4,24,3.0
auzw.mp4,26,3.0
auzw.mp4,28,3.0
avmr.avi,1,1.5
avmr.avi,3,1.25
avmr.avi,5,1.25
avmr.avi,7,1.25
avmr.avi,17,1.25
avmw.avi,0,9.0
avmw.avi,2,2.0
avmw.avi,8,9.0
avmw.avi,10,9.0
avmw.avi,12,1.5
avmw.avi,14,1.5
avnv.avi,0,2.5
avnv.avi,2,1.5
avnv.avi,4,2.5
avym.mp4,0,6.5
avym.mp4,2,6.0
avym.mp4,4,7.0
avym.mp4,6,7.0
avym.mp4,8,7.0
avym.mp4,10,6.0
avym.mp4,12,7.0
avym.mp4,14,7.5
avym.mp4,16,5.0
avym.mp4,18,5.5
avym.mp4,20,5.5
avym.mp4,22,6.333333333333334
avym.mp4,24,5.5
avym.mp4,26,5.5
avym.mp4,28,5.5
avym.mp4,30,5.0
avym.mp4,32,5.5
avym.mp4,34,5.5
avym.mp4,36,5.0
avym.mp4,38,5.0
avym.mp4,40,5.0
avym.mp4,42,5.0
avym.mp4,44,5.0
avym.mp4,46,5.0
avym.mp4,48,5.0
avym.mp4,50,4.5
avym.mp4,52,9.0
awis.avi,1,2.5
awis.avi,3,2.5
awqd.mp4,50,9.0
awqd.mp4,52,9.0
awqd.mp4,58,9.0
axie.mp4,0,4.5
axie.mp4,2,3.0
axie.mp4,4,3.0
axie.mp4,6,3.0
axie.mp4,8,3.0
axie.mp4,10,2.5
axie.mp4,12,2.5
axie.mp4,14,2.0
axie.mp4,16,2.5
axie.mp4,18,2.5
axie.mp4,20,2.5
axie.mp4,22,2.5
axie.mp4,24,2.0
axie.mp4,26,2.0
axie.mp4,28,2.5
axie.mp4,30,2.0
axie.mp4,32,2.5
axie.mp4,34,9.0
axie.mp4,36,7.5
axie.mp4,38,7.5
axkk.avi,2,1.5
axkk.avi,4,2.0
axkk.avi,6,2.0
axkk.avi,8,1.8333333333333333
axkk.avi,10,2.0
axkk.avi,12,2.0
axkk.avi,14,2.5
axkk.avi,16,2.0
axkk.avi,18,2.0
axkk.avi,20,1.5
axkk.avi,22,2.0
axkk.avi,24,2.0
axkk.avi,26,2.0
axqc.mp4,0,6.0
axqc.mp4,2,5.5
axqc.mp4,4,4.0
axqc.mp4,6,3.5
axqc.mp4,8,2.5
axqc.mp4,10,3.0
axux.mp4,0,3.0
axux.mp4,2,2.5
axux.mp4,4,3.0
axux.mp4,6,3.5
axux.mp4,8,3.0
axux.mp4,10,3.5
axux.mp4,12,3.5
axux.mp4,14,4.0
axux.mp4,16,4.0
axux.mp4,18,5.0
axux.mp4,20,6.5
axux.mp4,22,7.0
axux.mp4,24,8.0
axux.mp4,26,7.666666666666667
axux.mp4,28,8.0
axux.mp4,30,9.0
axux.mp4,32,9.0
axux.mp4,34,9.0
axux.mp4,36,9.0
axux.mp4,38,10.0
axux.mp4,40,9.5
axux.mp4,42,9.0
aymg.mp4,4,3.5
aymg.mp4,6,3.5
aymg.mp4,8,3.0
ayxq.mp4,0,2.5
ayxq.mp4,10,6.0
ayxq.mp4,50,14.0
azsb.mp4,40,9.0
azsb.mp4,50,3.0
baos.mp4,0,3.0
batr.mp4,8,9.0
batr.mp4,10,9.0
batr.mp4,12,9.0
bazv.mp4,22,9.0
bazv.mp4,24,5.8
bazv.mp4,26,6.5
bazv.mp4,28,5.5
bazv.mp4,30,6.5
bazv.mp4,32,5.8
bazv.mp4,34,5.0
bazv.mp4,36,4.5
bazv.mp4,38,3.0
bbtn.avi,1,7.375
bbtn.avi,3,6.5
bbtn.avi,13,9.0
bbxb.mp4,0,3.0
bbxb.mp4,10,9.0
bbxb.mp4,30,9.0
bbxb.mp4,40,9.0
bbxb.mp4,50,9.0
bcfm.avi,0,3.25
bcfm.avi,2,2.0
bcfm.avi,4,3.6
bcfm.avi,6,2.0
bcfm.avi,8,1.5
bcfm.avi,10,5.5
bcfm.avi,12,1.5
bcno.mp4,0,4.0
bcno.mp4,2,3.0
bcno.mp4,4,3.0
bcno.mp4,6,3.5
bcno.mp4,8,4.5
bcno.mp4,10,3.5
bcno.mp4,12,4.0
bcno.mp4,14,4.0
bcno.mp4,36,5.5
bcno.mp4,38,5.5
bcno.mp4,40,7.0
bcno.mp4,42,7.666666666666667
bcno.mp4,44,7.0
bcno.mp4,46,7.666666666666667
bcno.mp4,48,6.5
bcno.mp4,50,7.0
bcno.mp4,52,7.666666666666667
bcno.mp4,54,7.0
bcno.mp4,56,7.0
bcno.mp4,58,7.0
bdjn.mp4,30,9.0
bdjn.mp4,40,9.0
beci.mp4,0,3.0
bemg.mp4,0,3.0
besn.mp4,0,9.0
beyl.avi,2,9.0
beyl.avi,3,1.0
bfue.mp4,0,5.5
bfue.mp4,2,5.0
bfue.mp4,4,5.5
bfue.mp4,6,6.5
bfue.mp4,8,6.5
bfue.mp4,10,6.0
bfue.mp4,12,6.0
bfue.mp4,14,7.0
bfue.mp4,16,8.0
bfue.mp4,18,7.5
bfue.mp4,20,7.0
bfue.mp4,22,9.5
bfue.mp4,24,7.5
bfue.mp4,26,9.5
bfue.mp4,28,9.0
bfue.mp4,30,10.0
bfue.mp4,32,10.5
bfue.mp4,34,11.0
bfue.mp4,36,9.0
bfue.mp4,38,9.0
bfue.mp4,40,1.25
bfue.mp4,42,9.0
bfue.mp4,44,9.0
bfue.mp4,46,9.0
bfue.mp4,48,9.0
bfue.mp4,50,9.0
bfue.mp4,52,1.0
bfue.mp4,54,9.0
bfue.mp4,56,9.0
bggv.mp4,0,2.5
bggv.mp4,2,2.0
bggv.mp4,4,2.0
bggv.mp4,6,2.0
bggv.mp4,8,3.0
bggv.mp4,10,3.0
bggv.mp4,12,2.0
bggv.mp4,14,3.0
bggv.mp4,22,4.0
bggv.mp4,24,4.5
bggv.mp4,26,4.5
bggv.mp4,28,5.5
bggv.mp4,30,5.5
bgkq.avi,12,9.0
bgkq.avi,14,13.0
bgkq.avi,15,9.0
bgsh.mp4,10,9.0
bgsh.mp4,20,3.0
bgti.mp4,0,2.0
bgti.mp4,2,9.0
bhfe.mp4,0,13.0
bhfe.mp4,10,12.2
bhnj.mp4,0,3.0
bhnj.mp4,2,3.0
bhnj.mp4,4,6.0
bhua.avi,0,3.3333333333333335
bhzj.avi,1,1.9
bhzj.avi,3,2.0
bhzj.avi,5,1.7
bhzj.avi,7,1.5
bhzj.avi,9,2.0
bhzj.avi,11,2.0
bils.mp4,0,3.0
bjbn.mp4,10,9.0
bjbn.mp4,20,9.0
bjbn.mp4,30,9.0
bjbn.mp4,40,9.0
bjbn.mp4,50,9.0
bjnu.avi,1,9.0
bjzk.mp4,0,1.5
bkfv.avi,0,5.25
bkfv.avi,2,5.25
bkfv.avi,4,5.25
bkfv.avi,6,9.0
bkfv.avi,8,5.25
bkfv.avi,10,5.25
bkfv.avi,12,7.375
bkfv.avi,14,5.0
bkgv.mp4,0,9.0
bkgv.mp4,2,7.0
bkgv.mp4,4,8.5
bkgv.mp4,6,9.0
bkgv.mp4,8,11.0
bkgv.mp4,10,8.5
bkgv.mp4,12,14.5
bkgv.mp4,14,7.5
bkpt.mp4,0,2.5
bkpt.mp4,2,3.0
bkpt.mp4,4,3.0
bkpt.mp4,6,3.5
bkpt.mp4,8,3.0
bkpt.mp4,10,3.0
bkpt.mp4,12,2.5
bkpt.mp4,14,2.0
bkpt.mp4,16,2.0
bkpt.mp4,18,3.5
bkpt.mp4,20,2.0
bkpt.mp4,22,3.5
